"Gene","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000131188","PRR7",2.7858607934301,3.28620973773598,4.4974205982067,0.00174668828393956,0.0309146384291556,-1.07903183196256
"ENSG00000197561","ELANE",-2.03549984519,1.41572904336154,-4.49382087315419,0.00175536506187758,0.0309798212271909,-1.08410320907827
"ENSG00000131778","CHD1L",1.05542859220771,3.34029842219451,4.49187734722667,0.00176006903261546,0.0310120909825261,-1.086842105183
"ENSG00000171243","SOSTDC1",-1.1481612821302,1.49325999509256,-4.48633509572737,0.00177355784031514,0.0310891877581504,-1.09465559474363
"ENSG00000166866","MYO1A",-2.03551754308168,3.98565283981787,-4.486117035451,0.00177409083039982,0.0310891877581504,-1.09496311154705
"ENSG00000146733","PSPH",1.04336225456387,1.90697967431526,4.48399430909839,0.00177928829261856,0.0311362903335945,-1.09795703381315
"ENSG00000184162","NR2C2AP",1.15005900117091,2.8541165257579,4.47728130179093,0.00179583323095452,0.031369289640638,-1.1074296106643
"ENSG00000170476","MZB1",-3.32480698703811,4.7108709590401,-4.47654427552671,0.00179765978354909,0.031369289640638,-1.10847002487387
"ENSG00000135919","SERPINE2",1.22595870271155,1.84950355995601,4.47447614639004,0.00180279586693507,0.0313899742406182,-1.11138991018863
"ENSG00000132382","MYBBP1A",1.03349715089494,3.06362137954679,4.474030294352,0.00180390518526322,0.0313899742406182,-1.11201946997816
"ENSG00000135272","MDFIC",-1.064551967059,1.50121750675789,-4.47205821651596,0.00180882071046867,0.0314314265473176,-1.11480447591321
"ENSG00000165406","MARCHF8",-1.03624890039937,2.22531469040347,-4.46884688161718,0.00181685605987889,0.031526899489395,-1.11934083413364
"ENSG00000112118","MCM3",1.44738770746576,4.39222359354793,4.46584895805308,0.00182439211923604,0.0316134539432424,-1.12357712293461
"ENSG00000137491","SLCO2B1",-1.17154346696727,2.86463576889519,-4.45929828031549,0.00184097634772677,0.0318563368845831,-1.13283840972485
"ENSG00000133316","WDR74",1.06404241778612,2.52080386146437,4.44855004996141,0.00186854016674264,0.0322882699843677,-1.14804809289669
"ENSG00000131409","LRRC4B",-1.22452571288532,1.40843425140118,-4.44028910551533,0.00189002728319373,0.0325289063818123,-1.15974980615876
"ENSG00000233214",NA,-1.36512957182094,1.21514861380422,-4.43988233051071,0.00189109217353773,0.0325289063818123,-1.16032627089477
"ENSG00000198189","HSD17B11",-1.22662053458867,4.81881702137745,-4.43877680466405,0.00189398957788423,0.0325289063818123,-1.16189310146764
"ENSG00000112984","KIF20A",1.27415993932018,1.45948882564885,4.43817263675108,0.00189557502329736,0.0325289063818123,-1.16274944881789
"ENSG00000040608","RTN4R",1.82842578933558,1.90917807747306,4.43596122562129,0.00190139036023005,0.0325386899301713,-1.16588436744436
"ENSG00000136943","CTSV",1.10851003450294,1.21951586974178,4.43488349808233,0.00190423141258663,0.0325424230522898,-1.16741242974213
"ENSG00000163931","TKT",1.54831087953026,4.94538766086191,4.43251247015163,0.00191049789744866,0.0325638611267595,-1.17077481651166
"ENSG00000136689","IL1RN",2.78987165390264,2.39258728122794,4.43242286948896,0.00191073514147505,0.0325638611267595,-1.17090189689275
"ENSG00000151882","CCL28",-2.03988063989532,2.62337854143757,-4.43020462790733,0.00191661870827916,0.0326193255330858,-1.17404840535724
"ENSG00000153303","FRMD1",-2.16097331629007,1.85500112619835,-4.42472211498207,0.00193124410411711,0.0327783113540096,-1.18182833583202
"ENSG00000073737","DHRS9",-2.24452856922678,3.29166744997653,-4.42098315120911,0.00194128719580366,0.0329037571561968,-1.18713666498877
"ENSG00000185811","IKZF1",-1.02245982667889,1.03376808694964,-4.41850973573476,0.00194796182553225,0.032957840671189,-1.19064939975615
"ENSG00000156697","UTP14A",1.08903723025253,2.79191886342062,4.41733148099121,0.00195115008281356,0.032957840671189,-1.19232307318924
"ENSG00000130675","MNX1",1.35554248788551,2.93497394678884,4.4160411530252,0.00195464804388961,0.032957840671189,-1.19415618047955
"ENSG00000106541","AGR2",2.02295267925742,7.9118738042007,4.41586290175886,0.00195513179702569,0.032957840671189,-1.19440943304508
"ENSG00000253368","TRNP1",2.5135890106335,2.97781544176425,4.41489529393584,0.00195776002052602,0.032957840671189,-1.19578425576071
"ENSG00000121152","NCAPH",1.31790865621299,1.88172797471228,4.40654001500299,0.00198061347545352,0.0332485206405637,-1.20766163069658
"ENSG00000211679","IGLC3",-4.69667689086062,9.27288615990795,-4.40646924334862,0.00198080827251051,0.0332485206405637,-1.20776227992657
"ENSG00000165175","MID1IP1",1.6930814060268,4.09095189427443,4.4044771475743,0.00198629992689602,0.0332485206405637,-1.21059568190315
"ENSG00000119686","FLVCR2",-1.22785966359583,1.40212744694477,-4.40438257290779,0.00198656104993573,0.0332485206405637,-1.21073021222985
"ENSG00000110079","MS4A4A",-1.57810654334814,2.85592421074192,-4.40116325797453,0.00199547172202287,0.033260241731856,-1.21531040850141
"ENSG00000137033","IL33",1.53027981350945,2.29357930000118,4.40075357318536,0.00199660876032228,0.033260241731856,-1.21589338740027
"ENSG00000276085","CCL3L1",2.93089026964765,2.7632367000811,4.40055168124059,0.0019971693471615,0.033260241731856,-1.2161806875582
"ENSG00000255277",NA,-1.10930747060059,1.28511311515996,-4.39724433450577,0.00200637689765254,0.0333057122365277,-1.22088803447134
"ENSG00000139880","CDH24",1.41584924683719,2.51475317309482,4.39696794323473,0.00200714842732111,0.0333057122365277,-1.22128149580912
